Ia	Ib	Ic	IIa	IIb	IIa6	IIb6	IIIa	IIIa6
0.315168219	0.107344625	0.041683644	0.219366432	0.078062922	0.098250733	0.01460182	0.047937781	0.025644181
0.345945712	0.109020342	0.03687959	0.247175274	0.066215123	0.117513622	0.025283807	0.006947631	0.019271206
0.336975612	0.132159441	0.043421694	0.239274077	0.074982394	0.092833365	0.019589884	0.026894848	0.013979428
0.362695102	0.117838109	0.045257049	0.201902895	0.078070819	0.103674051	0.01595209	0.029289452	0.021771367
0.364347457	0.105194351	0.030846126	0.257225381	0.062964925	0.077568309	0.01673278	0.042929113	0.015125476
0.340613062	0.132418197	0.040620418	0.230657617	0.086223505	0.078935149	0.01711878	0.032754666	0.016197915
0.3649638	0.10608389	0.035807812	0.274622401	0.058680337	0.090302325	0.018933768	0.017482873	0.017986444
0.360340269	0.113048557	0.043681569	0.218398714	0.078323564	0.085706766	0.020548026	0.036685642	0.015863035
0.288039761	0.160760084	0.053398048	0.202082668	0.111724603	0.088193696	0.02514964	0.017911024	0.01666205
0.316985339	0.12499393	0.043182547	0.199661173	0.100671636	0.100380573	0.016305042	0.034492057	0.0211295
0.361954743	0.083445307	0.035513107	0.230006693	0.041635093	0.113529625	0.017416549	0.049644235	0.034983017
0.357289915	0.102490243	0.028458468	0.2640922	0.054913447	0.085259947	0.016431549	0.054186572	0.016681295
0.371427613	0.130668869	0.042206093	0.212638416	0.061701919	0.090291043	0.024327429	0.033224925	0.014887913
0.348741366	0.126859611	0.04635594	0.232876837	0.069142399	0.081066013	0.022586375	0.033049387	0.017172377
0.351157449	0.136033517	0.045277383	0.193277259	0.099156306	0.085897234	0.018667743	0.02783915	0.014572012
0.355699571	0.137076565	0.045337402	0.194816173	0.095234422	0.083365913	0.019443924	0.025999018	0.015743768
0.358433055	0.079075328	0.02813055	0.269923984	0.053805138	0.084052199	0.020134317	0.059388644	0.021708173
0.345069473	0.143493213	0.044927908	0.204360456	0.094168748	0.085375909	0.010227914	0.032970126	0.014385814
0.368490764	0.090135821	0.033111763	0.227654726	0.066742862	0.114184995	0.013647427	0.043650193	0.02333701
0.355479821	0.101115136	0.034007086	0.214085337	0.071048685	0.126567478	0.011994781	0.037733499	0.029230281
0.537159012	0.026654812	0.013529799	0.314593675	0.013493702	0.025397767	0.000781732	0.060854691	0
0.696365643	0.041536448	0.031084688	0.204284569	0.019376056	0.014011828	0	0	0
0.594034996	0.053280913	0.049260735	0.182873197	0.033444139	0.023220782	0	0.011242179	0.003223445
0.669287492	0.021483774	0.01421552	0.244173238	0.009971912	0.014343523	0.000617356	0.014591018	0.001694137
0.670074258	0.022060575	0.01425521	0.240579975	0.010804486	0.016873989	0	0.015266007	0
0.626114677	0.054023573	0.031924732	0.159900836	0.024012641	0.039230215	0	0.011673881	0.003242938
0.547138204	0.04041094	0.015192949	0.25294772	0.017903083	0.058447965	0.00613146	0.036227063	0.01450395
0.591445908	0.040433025	0.018563321	0.260048427	0.016663268	0.024889003	0.002151605	0.030788147	0.00433297
0.513978776	0.09342884	0.026006713	0.253206317	0.021315378	0.058023425	0.003885024	0.024726625	0.000308133
0.558727517	0.05790983	0.015138485	0.243388894	0.027400752	0.04026282	0.001387898	0.034016856	0
