Ia	Ib	Ic	IIa	IIb	IIa6	IIb6	IIIa	IIIa6	origin
0.8641090	0.0456556	0.0194813	0.0519900	0.0022230	0.0093821	0.0021752	0.0017689	0.0016971	0.0000000
0.3688233	0.1910771	0.0193521	0.1521952	0.0482137	0.1199787	0.0459918	0.0180635	0.0233292	0.0000000
0.9013322	0.0102475	0.0300693	0.0460016	0.0006433	0.0076295	0.0007742	0.0023487	0.0009537	0.0000000
0.8930300	0.0154889	0.0074782	0.0689739	0.0000000	0.0084705	0.0000000	0.0065586	0.0000000	0.0000000
0.9470729	0.0193322	0.0107972	0.0206690	0.0000000	0.0021286	0.0000000	0.0000000	0.0000000	0.0000000
0.7253393	0.0565358	0.0189619	0.0980756	0.0067506	0.0720379	0.0055823	0.0085155	0.0057370	0.0000000
0.7590372	0.0447506	0.0145832	0.0927930	0.0040120	0.0625914	0.0047240	0.0087308	0.0047666	0.0000000
0.6593892	0.0579380	0.0123706	0.1274386	0.0085119	0.0931841	0.0154569	0.0108151	0.0121914	0.0000000
0.6994792	0.0467461	0.0141472	0.1090204	0.0059823	0.1006102	0.0044285	0.0090387	0.0080817	0.0000000
0.7551959	0.0241228	0.0056763	0.1179526	0.0026845	0.0717384	0.0035299	0.0091536	0.0084527	0.0000000
0.6965371	0.0541919	0.0135023	0.1176345	0.0069520	0.0822328	0.0094560	0.0086233	0.0082155	0.0000000
0.7725857	0.0421010	0.0113335	0.0749456	0.0032403	0.0740114	0.0031957	0.0105189	0.0042258	0.0000000
0.8406024	0.0283132	0.0098956	0.0589327	0.0013500	0.0476261	0.0010297	0.0065322	0.0021347	0.0000000
0.7125440	0.0715495	0.0162641	0.0837077	0.0077606	0.0777432	0.0123313	0.0061641	0.0083885	0.0000000
0.4900000	0.1800000	0.0300000	0.0400000	0.0100000	0.1500000	0.0700000	0.0000000	0.0200000	0.0000000
0.5100000	0.2500000	0.0400000	0.0300000	0.0100000	0.1000000	0.0500000	0.0000000	0.0100000	0.0000000
0.5100000	0.2100000	0.0300000	0.0500000	0.0100000	0.1300000	0.0600000	0.0000000	0.0000000	0.0000000
0.5900000	0.1500000	0.0300000	0.0500000	0.0100000	0.1100000	0.0400000	0.0100000	0.0100000	0.0000000
0.5700000	0.1900000	0.0400000	0.0400000	0.0100000	0.0700000	0.0500000	0.0000000	0.0100000	0.0000000
0.6500000	0.1200000	0.0200000	0.0500000	0.0100000	0.1100000	0.0300000	0.0000000	0.0100000	0.0000000
0.7400000	0.0900000	0.0200000	0.0500000	0.0100000	0.0700000	0.0200000	0.0000000	0.0100000	0.0000000
0.8000000	0.1300000	0.0300000	0.0300000	0.0000000	0.0200000	0.0000000	0.0000000	0.0000000	0.0000000
0.5100000	0.2000000	0.0400000	0.0500000	0.0100000	0.1200000	0.0400000	0.0000000	0.0100000	0.0000000
0.9200000	0.0500000	0.0000000	0.0100000	0.0000000	0.0200000	0.0000000	0.0000000	0.0000000	0.0000000
0.7500000	0.1100000	0.0300000	0.0400000	0.0100000	0.0300000	0.0100000	0.0000000	0.0000000	0.0000000
0.5300000	0.1800000	0.0300000	0.0400000	0.0100000	0.1500000	0.0400000	0.0000000	0.0200000	0.0000000
0.4300000	0.2900000	0.0500000	0.0300000	0.0100000	0.1100000	0.0600000	0.0000000	0.0100000	0.0000000
0.4100000	0.2700000	0.0400000	0.0200000	0.0000000	0.1800000	0.0600000	0.0000000	0.0100000	0.0000000
0.4600000	0.2100000	0.0300000	0.0400000	0.0100000	0.1400000	0.0700000	0.0000000	0.0200000	0.0000000
0.6700000	0.1500000	0.0400000	0.0400000	0.0000000	0.0700000	0.0300000	0.0000000	0.0000000	0.0000000
0.3900000	0.2900000	0.0300000	0.0400000	0.0100000	0.1400000	0.0800000	0.0000000	0.0100000	0.0000000
0.4000000	0.2200000	0.0200000	0.0300000	0.0100000	0.1900000	0.1000000	0.0000000	0.0200000	0.0000000
0.5700000	0.1900000	0.0600000	0.0000000	0.0100000	0.1200000	0.0400000	0.0000000	0.0100000	0.0000000
0.5000000	0.1900000	0.0300000	0.0500000	0.0100000	0.1500000	0.0500000	0.0100000	0.0200000	0.0000000
0.4500000	0.1700000	0.0200000	0.0400000	0.0100000	0.2100000	0.0700000	0.0000000	0.0200000	0.0000000
0.9000000	0.0500000	0.0100000	0.0100000	0.0000000	0.0200000	0.0000000	0.0000000	0.0000000	0.0000000
0.4100000	0.2100000	0.0200000	0.0400000	0.0100000	0.1700000	0.0800000	0.0100000	0.0300000	0.0000000
0.1800000	0.3400000	0.0100000	0.0100000	0.0000000	0.2800000	0.1200000	0.0000000	0.0400000	0.0000000
0.4000000	0.2200000	0.0200000	0.0300000	0.0100000	0.2200000	0.0800000	0.0000000	0.0200000	0.0000000
0.4600000	0.2300000	0.0600000	0.0300000	0.0100000	0.1500000	0.0400000	0.0000000	0.0200000	0.0000000
0.5200000	0.1800000	0.0100000	0.0300000	0.0000000	0.1900000	0.0500000	0.0000000	0.0200000	0.0000000
0.4500000	0.2400000	0.0300000	0.0200000	0.0100000	0.2000000	0.0400000	0.0000000	0.0100000	0.0000000
0.3900000	0.1500000	0.0200000	0.0400000	0.0100000	0.2700000	0.0800000	0.0000000	0.0300000	0.0000000
0.5600000	0.1500000	0.0200000	0.0500000	0.0100000	0.1400000	0.0400000	0.0000000	0.0200000	0.0000000
